Date,Variable,Belarus,Lithuania,East_Europe
1985,nuclear_electricity,0,9.48,0.001081451
1986,nuclear_electricity,0,9.88,0.001127082
1987,nuclear_electricity,0,9.18,0.001047228
1988,nuclear_electricity,0,12.81,0.001461328
1989,nuclear_electricity,0,16.65,0.001899384
1990,nuclear_electricity,0,17.03,0.001942733
1991,nuclear_electricity,0,17,0.001939311
1992,nuclear_electricity,0,14.64,0.001670089
1993,nuclear_electricity,0,12.26,0.001398585
1994,nuclear_electricity,0,7.71,0.000879535
1995,nuclear_electricity,0,11.82,0.001348392
1996,nuclear_electricity,0,13.94,0.001590235
1997,nuclear_electricity,0,12.02,0.001371207
1998,nuclear_electricity,0,13.55,0.001545745
1999,nuclear_electricity,0,9.86,0.0011248
2000,nuclear_electricity,0,8.42,0.000960529
2001,nuclear_electricity,0,11.36,0.001295916
2002,nuclear_electricity,0,14.14,0.00161305
2003,nuclear_electricity,0,15.48,0.001765914
2004,nuclear_electricity,0,15.1,0.001722564
2005,nuclear_electricity,0,10.34,0.001179557
2006,nuclear_electricity,0,8.65,0.000986767
2007,nuclear_electricity,0,9.83,0.001121378
2008,nuclear_electricity,0,9.89,0.001128223
2009,nuclear_electricity,0,10.85,0.001237737
2010,nuclear_electricity,0,0,0
2011,nuclear_electricity,0,0,0
2012,nuclear_electricity,0,0,0
2013,nuclear_electricity,0,0,0
2014,nuclear_electricity,0,0,0
2015,nuclear_electricity,0,0,0
2016,nuclear_electricity,0,0,0
2017,nuclear_electricity,0,0,0
2018,nuclear_electricity,0,0,0
2019,nuclear_electricity,0,0,0
2020,nuclear_electricity,0.34,0,3.87862E-05
2021,nuclear_electricity,5.78,0,0.000659366
2022,nuclear_electricity,4.69,0,0.000535022
2023,nuclear_electricity,11.6,0,0.001323295
2024,nuclear_electricity,11.6,0,0.001323295
2025,nuclear_electricity,11.6,0,0.001323295
2026,nuclear_electricity,11.6,0,0.001323295
2027,nuclear_electricity,11.6,0,0.001323295
2028,nuclear_electricity,11.6,0,0.001323295
2029,nuclear_electricity,11.6,0,0.001323295
2030,nuclear_electricity,11.6,0,0.001323295
2031,nuclear_electricity,11.6,0,0.001323295
2032,nuclear_electricity,11.6,0,0.001323295
2033,nuclear_electricity,11.6,0,0.001323295
2034,nuclear_electricity,11.6,0,0.001323295
2035,nuclear_electricity,11.6,0,0.001323295
2036,nuclear_electricity,11.6,0,0.001323295
2037,nuclear_electricity,11.6,0,0.001323295
2038,nuclear_electricity,11.6,0,0.001323295
2039,nuclear_electricity,11.6,0,0.001323295
2040,nuclear_electricity,11.6,0,0.001323295
2041,nuclear_electricity,11.6,0,0.001323295
2042,nuclear_electricity,11.6,0,0.001323295
2043,nuclear_electricity,11.6,0,0.001323295
2044,nuclear_electricity,11.6,0,0.001323295
2045,nuclear_electricity,11.6,0,0.001323295
2046,nuclear_electricity,11.6,0,0.001323295
2047,nuclear_electricity,11.6,0,0.001323295
2048,nuclear_electricity,11.6,0,0.001323295
2049,nuclear_electricity,11.6,0,0.001323295
2050,nuclear_electricity,11.6,0,0.001323295
2051,nuclear_electricity,11.6,0,0.001323295
2052,nuclear_electricity,11.6,0,0.001323295
2053,nuclear_electricity,11.6,0,0.001323295
2054,nuclear_electricity,11.6,0,0.001323295
2055,nuclear_electricity,11.6,0,0.001323295
2056,nuclear_electricity,11.6,0,0.001323295
2057,nuclear_electricity,11.6,0,0.001323295
2058,nuclear_electricity,11.6,0,0.001323295
2059,nuclear_electricity,11.6,0,0.001323295
2060,nuclear_electricity,11.6,0,0.001323295
2061,nuclear_electricity,11.6,0,0.001323295
2062,nuclear_electricity,11.6,0,0.001323295
2063,nuclear_electricity,11.6,0,0.001323295
2064,nuclear_electricity,11.6,0,0.001323295
2065,nuclear_electricity,11.6,0,0.001323295
2066,nuclear_electricity,11.6,0,0.001323295
2067,nuclear_electricity,11.6,0,0.001323295
2068,nuclear_electricity,11.6,0,0.001323295
2069,nuclear_electricity,11.6,0,0.001323295
2070,nuclear_electricity,11.6,0,0.001323295
2071,nuclear_electricity,11.6,0,0.001323295
2072,nuclear_electricity,11.6,0,0.001323295
2073,nuclear_electricity,11.6,0,0.001323295
2074,nuclear_electricity,11.6,0,0.001323295
2075,nuclear_electricity,11.6,0,0.001323295
2076,nuclear_electricity,11.6,0,0.001323295
2077,nuclear_electricity,11.6,0,0.001323295
2078,nuclear_electricity,11.6,0,0.001323295
2079,nuclear_electricity,11.6,0,0.001323295
2080,nuclear_electricity,11.6,0,0.001323295
2081,nuclear_electricity,11.6,0,0.001323295
2082,nuclear_electricity,11.6,0,0.001323295
2083,nuclear_electricity,11.6,0,0.001323295
2084,nuclear_electricity,11.6,0,0.001323295
2085,nuclear_electricity,11.6,0,0.001323295
2086,nuclear_electricity,11.6,0,0.001323295
2087,nuclear_electricity,11.6,0,0.001323295
2088,nuclear_electricity,11.6,0,0.001323295
2089,nuclear_electricity,11.6,0,0.001323295
2090,nuclear_electricity,11.6,0,0.001323295
2091,nuclear_electricity,11.6,0,0.001323295
2092,nuclear_electricity,11.6,0,0.001323295
2093,nuclear_electricity,11.6,0,0.001323295
2094,nuclear_electricity,11.6,0,0.001323295
2095,nuclear_electricity,11.6,0,0.001323295
2096,nuclear_electricity,11.6,0,0.001323295
2097,nuclear_electricity,11.6,0,0.001323295
2098,nuclear_electricity,11.6,0,0.001323295
2099,nuclear_electricity,11.6,0,0.001323295
2100,nuclear_electricity,11.6,0,0.001323295
